census_no,school_name,school_address,province,district,zone,education_division,school_type,category
17098,DIGAMPITIYA SRI PIYARATHANA M.V.,HINDAGOLLA KURUNEGALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17099,PILESSA MAHA VIDYALAYA,PILESSA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17100,POTHUBOWA MAHA VIDYALAYA,POTHUBOWA MAWATHAGAMA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17101,BOGAMUWA CENTRAL COLLEGE,BOGAMUWA BOYAGANE,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17102,MEETANWALA M.V..,MEETHANWALA MAWATHAGAMA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17103,WATAREKA M.V.,INGURUWATTA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17104,WEUDA ROYAL CENTRAL COLLEGE,WEUDA,North Western,61.Kurunegala,Kurunegala,Mawathagama,2.1C,provincial
17106,ALAKOLADENIYA BOUDDHA VIDYALAYA,DAMBULLA ROAD KURUNEGALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17107,KAHAPATHWALA V.,KAHAPATHWALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17108,KATUPITIYA VIDYALAYA,KATUPITIYA INDULGODAKANDA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17109,KETAWALA JONIOR SCHOOL,INGURUWATHTHA MAWATHAGAMA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17110,WAYAMBA VISHWALOKA VIDYALAYA,KUDA KOWANA THORAYAYA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17111,WAYAMBA SWARNA PRADEEPA VIDYALAYA,KOONGASWALA THORAYAYA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17112,DORATIYAWA V.,DORATIYAWA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17113,MADAWA UDUMULLA VIDYALAYA,MADAWA PILESSA KURUNEGALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17115,WAYAMBA C W W KANNANGARA M.V.,MALLAWAPITIYA KURUNEGALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,1.1AB,provincial
17116,MEDDEGAMA JUNIOR SCHOOL,WELLAWA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17117,YATIWALA SRI GUNANANDA V.,YATIWALA MEETHENWALA MAWATHAGAMA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17118,ATHUGALPURA SINHALOKA VIDYALAYA,WEWAGEDARA HINDAGOLLA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17119,HENGAWA KANISHTA V.,THORAYAYA KURUNEGALA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17120,ATHUGALPURA PRINCE COLLEGE,"HEWAPOLA, PILESSA",North Western,61.Kurunegala,Kurunegala,Mawathagama,1.1AB,provincial
17121,KOSGOLLA KANISHTA VIDYALAYA,KOSGOLLA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17124,MAWATHAGAMA ROMAN CATHOLIC COLLEGE,MAWATHAGAMA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17125,ROYAL COLLEGE,WEUDA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17126,AKADE PRIMARY SCHOOL,WEUDA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17128,IRIMINNA K.V.,IRIMINNA KAHAPATHWELA,North Western,61.Kurunegala,Kurunegala,Mawathagama,3.Type2,provincial
17131,GONAGALDENIYA PRIMARY SCHOOL,INDULGODAKANDA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17134,MALAGANE SARASWATHIE VIDYALAYA,KOHILEGEDARA,North Western,61.Kurunegala,Kurunegala,Mawathagama,4.Type3,provincial
17138,ITHANAWATHTHA M.V.,ITHANAWATHTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17139,KATUPOTA TISSA M.M.V.,KATPOTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,1.1AB,provincial
