census_no,school_name,school_address,province,district,zone,education_division,school_type,category
24609,ALGAMA MEDAGAMA NEW MODEL P.V.,"MEDAGAMA, ALGAMA",Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24611,GODAWELA MUSLIM V.,DANOWITA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,3.Type2,provincial
24612,KALUGALA P.V.,"KALUGALA, BOSSELLA",Sabaragamuwa,92.Kegalle,Mawanella,Aranayaka,4.Type3,provincial
24613,DEHIOWITA BUDDHIST P.V.,DEHIOWITA,Sabaragamuwa,92.Kegalle,Dehiowita,Dehiowita,4.Type3,provincial
24614,HEMINGFORD NO. 2 TAMIL VIDYALAYA,ELAULLA PARAKADUWA,Sabaragamuwa,92.Kegalle,Dehiowita,Dehiowita,4.Type3,provincial
24616,PAHALA THAMBAVITA P.V.,BAMBARAGAHAELLA GAMPOLA,Sabaragamuwa,92.Kegalle,Mawanella,Mawanella,4.Type3,provincial
24617,SARIPUTHTHA MODEL P.V.,ALAUWA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24618,VIVEKANANDA TAMIL V.,MEEPITIKANDA ESTATE YATIYANTHOTA,Sabaragamuwa,92.Kegalle,Dehiowita,Yatiyantota,4.Type3,provincial
24619,DIPPITIYA RAJAGIRI P.V.,DIPPITIYA ARANAYAKA,Sabaragamuwa,92.Kegalle,Mawanella,Aranayaka,4.Type3,provincial
24620,BHARATHI TAMIL V.,DEGALLASSA ESTATE L.D. YATIYANTHOTA,Sabaragamuwa,92.Kegalle,Dehiowita,Yatiyantota,3.Type2,provincial
24621,THUNBAGE P.V.,UDAPOTHA,Sabaragamuwa,92.Kegalle,Dehiowita,Yatiyantota,4.Type3,provincial
24622,PARAKRAMA P.V.,RAMBUKKANA,Sabaragamuwa,92.Kegalle,Mawanella,Rambukkana,4.Type3,provincial
24623,RANJAN WIJERATHNA P.V.,"PANAWALA, EHELIYAGODA",Sabaragamuwa,92.Kegalle,Dehiowita,Dehiowita,4.Type3,provincial
24624,MABOPITIYA P.V.,"MABOPITIYA, UNDUGODA",Sabaragamuwa,92.Kegalle,Kegalle,Kegalle,4.Type3,provincial
24625,GETIYAMULLA P.V.,"GETIYAMULLA, ALAWATURA",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24626,RAMAKRISHNA PRIMARY SCHOOL,YATIYANTHOTA,Sabaragamuwa,92.Kegalle,Dehiowita,Yatiyantota,4.Type3,provincial
24627,WAHARAKA PRIMARY SCHOOL,WAHARAKA,Sabaragamuwa,92.Kegalle,Dehiowita,Ruwanwella,4.Type3,provincial
24629,RUWANWELLA P.V.,RUWANWELLA,Sabaragamuwa,92.Kegalle,Dehiowita,Ruwanwella,4.Type3,provincial
24630,ASHOKA P.V.,KIRIWALLA PITIYA RAMBUKKANA,Sabaragamuwa,92.Kegalle,Mawanella,Rambukkana,4.Type3,provincial
24631,AL-ARAFA MUSLIM P.V.,DIPPITIYA,Sabaragamuwa,92.Kegalle,Mawanella,Aranayaka,4.Type3,provincial
24632,HATHGAMPALA P.V.,"HATHGAMPALA, ARANAYAKA",Sabaragamuwa,92.Kegalle,Mawanella,Aranayaka,4.Type3,provincial
24633,HIJRAGAMA MUSLIM PRIMARY SCHOOL,HIJRAGAMA HEMMATHAGAMA,Sabaragamuwa,92.Kegalle,Mawanella,Mawanella,4.Type3,provincial
24634,IQRA P.V.,KANNATTOTA,Sabaragamuwa,92.Kegalle,Dehiowita,Ruwanwella,4.Type3,provincial
24636,KIVULDENIYA P.V.,KIVULDENIYA GALAPITAMADA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24637,DORAWAKA SIRINIVASA P.V.,DORAWAKA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,4.Type3,provincial
24638,BOMALUWA RAJASINGHE P.V.,"IHALA MANIYANGAMA, AVISSAWELLA",Sabaragamuwa,92.Kegalle,Dehiowita,Dehiowita,4.Type3,provincial
24639,KATHIRESHAN TAMIL P.V.,DERANIYAGALA,Sabaragamuwa,92.Kegalle,Dehiowita,Deraniyagala,4.Type3,provincial
24640,GALAPITAMADA WALAGAMBA P.V.,GALAPITAMADA,Sabaragamuwa,92.Kegalle,Dehiowita,Ruwanwella,4.Type3,provincial
24641,KALYANI P.V.,KITHULGALA,Sabaragamuwa,92.Kegalle,Dehiowita,Kitulgala,4.Type3,provincial
