census_no,school_name,school_address,province,district,zone,education_division,school_type,category
13124,NEDUMKULAMA G.S.M SCHOOL,NEDUNKULAMA VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13126,ARUGAMPULELIYA VIDYALAYA,"ARUGAMPULELIYA, VAVUNIYAVA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13127,MOONDRIMURIPPU G.S.M SCHOOL,MOONDRIMURUPPU VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13128,MARADAMMADUVA GOVERNMENT SINHALA MIXED SCHOOL,MARADAMMADUVA NEERIYAKULAM VAVUNIYAVA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13129,KUDAKACHCHAKODIYA VIDYALAYA,KUDAKACHCHAKODIYA VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13130,NOCHCHIKULAM MUTHTHUMARY VIDYALAYAM,NOCHCHIKULAM PULIYANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13131,PERIYAKULAM G.T.M.S.,"PERIYAKULAM, KANAGARAYANKULAM",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13132,ALANKULAM MURUGANANTHA VIDYALAYAM,"ALANKULAM, KANAGARAYANKULAM",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13133,VIGGNANAKULAM NAVARATHTHENAM VIDYALAYAM,KANAGARAYANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13134,SELVAVINAYAKAR VIDYALAYAM,"SANNASI PARANTHAN, PULIYANKULAM",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13135,KURISUDDAKULAM G.T.M.S.,KANAGARAYANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13136,SENAIPULAVU UMAIYAL VIDYALAYAM,SENAIPULAVU NEDUNKERNY,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13139,PRAMANANLANKULAM VIGNESVARA VIDYALAYAM,MANNAR ROAD PERIYATHAMPANAI,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13140,NEELIYAMOODDAI SARASWATHY VIDYALAYAM,POOVARASANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13141,GANESHAPURAM SHANMUKANANTHA VIDYALAYAM,MADHU ROAD VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,3.Type2,provincial
13144,NITHTHIYANAGAR LOGESWARI VIDYALAYAM,POOVARASANKULAM VAVAUNIYA,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13145,MANIYAR KULAM VIDYANANTHA VIDYALAYAM,MANIYARKULAM POOVARASANKULAM,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13146,MUHATHANKULAM VIGNESWARA VIDYALAYAM,1ST FARM MUHATHANKULAM CHEDDIKULAM,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13147,KANKANKULAM SRISUBRAMANIYA VIDYALAYAM,"KANKANKULAM, CHEDDIKULAM",Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13148,KATKARANKULAM ILANGO VIDYALAYAM,"KATKARANKULAM, KANTHINAGAR, CHEDDIKULAM.",Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
